Date,Visitor,Visitor Score,Home Team,Home Score,Line
Sep 3 2015,Texas-San Antonio,32,Arizona,42,
Sep 3 2015,Virginia Military Institute,36,Ball State,48,
Sep 3 2015,Villanova,15,Connecticut,20,
Sep 3 2015,Duke,37,Tulane,7,
Sep 3 2015,Florida International,15,Central Florida,14,
Sep 3 2015,Abilene Christian,13,Fresno State,34,
Sep 3 2015,Alcorn State,6,Georgia Tech,69,
Sep 3 2015,Colorado,20,Hawaii,28,
Sep 3 2015,California-Davis,17,Nevada,31,
Sep 3 2015,Ohio,45,Idaho,28,
Sep 3 2015,Oklahoma State,24,Central Michigan,13,
Sep 3 2015,New Hampshire,13,San Jose State,43,
Sep 3 2015,North Carolina,13,South Carolina,17,
Sep 3 2015,Texas Christian,23,Minnesota,17,
Sep 3 2015,Michigan,17,Utah,24,
Sep 3 2015,Southern Utah,9,Utah State,12,
Sep 3 2015,Elon,3,Wake Forest,41,
Sep 3 2015,Western Kentucky,14,Vanderbilt,12,
Sep 4 2015,Baylor,56,Southern Methodist,21,
Sep 4 2015,Washington,13,Boise State,16,
Sep 4 2015,Charlotte,23,Georgia State,20,
Sep 4 2015,Fordham,37,Army,35,
Sep 4 2015,Michigan State,37,Western Michigan,24,
Sep 4 2015,Weber State,7,Oregon State,26,
Sep 4 2015,Rhode Island,0,Syracuse,47,
Sep 5 2015,Morgan State,7,Air Force,63,
Sep 5 2015,Wisconsin,17,Alabama,35,
Sep 5 2015,Howard,0,Appalachian State,49,
Sep 5 2015,Texas-El Paso,13,Arkansas,48,
Sep 5 2015,Louisville,24,Auburn,31,
Sep 5 2015,Maine,3,Boston College,24,
Sep 5 2015,Brigham Young,33,Nebraska,28,
Sep 5 2015,Albany,14,Buffalo,51,
Sep 5 2015,Grambling State,14,California,73,
Sep 5 2015,Alabama A&M,10,Cincinnati,52,
Sep 5 2015,Wofford,10,Clemson,49,
Sep 5 2015,Savannah State,13,Colorado State,65,
Sep 5 2015,Towson,20,East Carolina,28,
Sep 5 2015,New Mexico State,13,Florida,61,
Sep 5 2015,Texas State,16,Florida State,59,
Sep 5 2015,Louisiana-Monroe,14,Georgia,51,
Sep 5 2015,Tennessee Tech,24,Houston,52,
Sep 5 2015,Kent State,3,Illinois,52,
Sep 5 2015,Southern Illinois,47,Indiana,48,
Sep 5 2015,Illinois State,14,Iowa,31,
Sep 5 2015,Northern Iowa,7,Iowa State,31,
Sep 5 2015,South Dakota,0,Kansas State,34,
Sep 5 2015,Louisiana-Lafayette,33,Kentucky,40,
Sep 5 2015,Southern,15,Louisiana Tech,62,
Sep 5 2015,Richmond,21,Maryland,50,
Sep 5 2015,McNeese State,,Louisiana State,,
Sep 5 2015,Missouri State,7,Memphis,63,
Sep 5 2015,Bethune-Cookman,0,Miami (FL),45,
Sep 5 2015,Presbyterian,7,Miami (OH),26,
Sep 5 2015,Jackson State,14,Middle Tennessee State,70,
Sep 5 2015,Tennessee-Martin,3,Mississippi,76,
Sep 5 2015,Mississippi State,34,Southern Mississippi,16,
Sep 5 2015,Southeast Missouri State,3,Missouri,34,
Sep 5 2015,Colgate,10,Navy,48,
Sep 5 2015,Mississippi Valley State,0,New Mexico,66,
Sep 5 2015,Troy,21,North Carolina State,49,
Sep 5 2015,North Dakota,24,Wyoming,13,
Sep 5 2015,Nevada-Las Vegas,30,Northern Illinois,38,
Sep 5 2015,Stanford,6,Northwestern,16,
Sep 5 2015,Texas,3,Notre Dame,38,
Sep 5 2015,Akron,3,Oklahoma,41,
Sep 5 2015,Old Dominion,38,Eastern Michigan,34,
Sep 5 2015,Eastern Washington,42,Oregon,61,
Sep 5 2015,Youngstown State,37,Pittsburgh,45,
Sep 5 2015,Portland State,24,Washington State,17,
Sep 5 2015,Wagner,16,Rice,56,
Sep 5 2015,Norfolk State,13,Rutgers,63,
Sep 5 2015,San Diego,3,San Diego State,37,
Sep 5 2015,Gardner-Webb,23,South Alabama,33,
Sep 5 2015,South Dakota State,41,Kansas,38,
Sep 5 2015,Florida A&M,3,South Florida,51,
Sep 5 2015,Arkansas State,6,Southern California,55,
Sep 5 2015,Penn State,10,Temple,27,
Sep 5 2015,Bowling Green State,30,Tennessee,59,
Sep 5 2015,Arizona State,17,Texas A&M,38,
Sep 5 2015,Sam Houston State,45,Texas Tech,59,
Sep 5 2015,Florida Atlantic,44,Tulsa,47,
Sep 5 2015,Virginia,16,UCLA,34,
Sep 5 2015,Georgia Southern,0,West Virginia,44,
Sep 6 2015,Purdue,31,Marshall,41,
Sep 7 2015,Ohio State,42,Virginia Tech,24,
Sep 10 2015,Louisiana Tech,38,Western Kentucky,41,
Sep 11 2015,Miami (FL),44,Florida Atlantic,20,
Sep 11 2015,Utah State,14,Utah,24,
Sep 12 2015,San Jose State,16,Air Force,37,
Sep 12 2015,Middle Tennessee State,10,Alabama,37,
Sep 12 2015,Arizona,44,Nevada,20,
Sep 12 2015,Cal Poly,21,Arizona State,35,
Sep 12 2015,Jacksonville State,20,Auburn,27,
Sep 12 2015,Lamar,31,Baylor,66,
Sep 12 2015,Howard,0,Boston College,76,
Sep 12 2015,Bowling Green State,48,Maryland,27,
Sep 12 2015,Boise State,24,Brigham Young,35,
Sep 12 2015,San Diego State,7,California,35,
Sep 12 2015,Monmouth,10,Central Michigan,31,
Sep 12 2015,Presbyterian,10,Charlotte,34,
Sep 12 2015,Appalachian State,10,Clemson,41,
Sep 12 2015,Massachusetts,14,Colorado,48,
Sep 12 2015,Army,17,Connecticut,22,
Sep 12 2015,North Carolina Central,0,Duke,55,
Sep 12 2015,Eastern Michigan,48,Wyoming,29,
Sep 12 2015,East Carolina,24,Florida,31,
Sep 12 2015,South Florida,14,Florida State,34,
Sep 12 2015,Georgia,31,Vanderbilt,14,
Sep 12 2015,Western Michigan,17,Georgia Southern,43,
Sep 12 2015,Georgia State,34,New Mexico State,32,
Sep 12 2015,Tulane,10,Georgia Tech,65,
Sep 12 2015,Houston,34,Louisville,31,
Sep 12 2015,Western Illinois,0,Illinois,44,
Sep 12 2015,Florida International,22,Indiana,36,
Sep 12 2015,Iowa,31,Iowa State,17,
Sep 12 2015,Kansas State,30,Texas-San Antonio,3,
Sep 12 2015,Delaware State,13,Kent State,45,
Sep 12 2015,Kentucky,26,South Carolina,22,
Sep 12 2015,Louisiana State,21,Mississippi State,19,
Sep 12 2015,Northwestern State,17,Louisiana-Lafayette,44,
Sep 12 2015,Nicholls State,0,Louisiana-Monroe,47,
Sep 12 2015,Memphis,55,Kansas,23,
Sep 12 2015,Oregon State,7,Michigan,35,
Sep 12 2015,Oregon,28,Michigan State,31,
Sep 12 2015,Minnesota,23,Colorado State,20,
Sep 12 2015,Fresno State,21,Mississippi,73,
Sep 12 2015,Missouri,27,Arkansas State,20,
Sep 12 2015,South Alabama,9,Nebraska,48,
Sep 12 2015,North Carolina A&T,14,North Carolina,53,
Sep 12 2015,Eastern Kentucky,0,North Carolina State,35,
Sep 12 2015,Murray State,26,Northern Illinois,57,
Sep 12 2015,Eastern Illinois,0,Northwestern,41,
Sep 12 2015,Notre Dame,34,Virginia,27,
Sep 12 2015,Marshall,10,Ohio,21,
Sep 12 2015,Hawaii,0,Ohio State,38,
Sep 12 2015,Oklahoma,31,Tennessee,24,
Sep 12 2015,Central Arkansas,8,Oklahoma State,32,
Sep 12 2015,Norfolk State,10,Old Dominion,24,
Sep 12 2015,Buffalo,14,Penn State,27,
Sep 12 2015,Pittsburgh,24,Akron,7,
Sep 12 2015,Indiana State,14,Purdue,38,
Sep 12 2015,Idaho,9,Southern California,59,
Sep 12 2015,North Texas,13,Southern Methodist,31,
Sep 12 2015,Austin Peay,6,Southern Mississippi,52,
Sep 12 2015,Central Florida,7,Stanford,31,
Sep 12 2015,Wake Forest,17,Syracuse,30,
Sep 12 2015,Temple,34,Cincinnati,26,
Sep 12 2015,Rice,28,Texas,42,
Sep 12 2015,Ball State,23,Texas A&M,56,
Sep 12 2015,Stephen F. Austin,7,Texas Christian,70,
Sep 12 2015,Prairie View A&M,24,Texas State,63,
Sep 12 2015,Texas-El Paso,20,Texas Tech,69,
Sep 12 2015,Arkansas,12,Toledo,16,
Sep 12 2015,Charleston Southern,16,Troy,44,
Sep 12 2015,Tulsa,40,New Mexico,21,
Sep 12 2015,UCLA,37,Nevada-Las Vegas,3,
Sep 12 2015,Furman,3,Virginia Tech,42,
Sep 12 2015,Sacramento State,0,Washington,49,
Sep 12 2015,Washington State,37,Rutgers,34,
Sep 12 2015,Liberty,17,West Virginia,41,
Sep 12 2015,Miami (OH),0,Wisconsin,58,
Sep 17 2015,Clemson,20,Louisville,17,
Sep 18 2015,New Mexico,10,Arizona State,34,
Sep 18 2015,Idaho State,0,Boise State,52,
Sep 18 2015,Florida State,14,Boston College,0,
Sep 19 2015,Savannah State,9,Akron,52,
Sep 19 2015,Northern Arizona,13,Arizona,77,
Sep 19 2015,Missouri State,7,Arkansas State,70,
Sep 19 2015,Ball State,28,Eastern Michigan,17,
Sep 19 2015,Buffalo,33,Florida Atlantic,15,
Sep 19 2015,California,45,Texas,44,
Sep 19 2015,Cincinnati,37,Miami (OH),33,
Sep 19 2015,Colorado State,24,Colorado,27,
Sep 19 2015,Florida,14,Kentucky,9,
Sep 19 2015,North Carolina Central,14,Florida International,39,
Sep 19 2015,Furman,16,Central Florida,15,
Sep 19 2015,South Carolina,20,Georgia,52,
Sep 19 2015,Citadel,13,Georgia Southern,48,
Sep 19 2015,California-Davis,27,Hawaii,47,
Sep 19 2015,Wofford,38,Idaho,41,
Sep 19 2015,Western Kentucky,35,Indiana,38,
Sep 19 2015,Pittsburgh,24,Iowa,27,
Sep 19 2015,Louisiana Tech,33,Kansas State,39,
Sep 19 2015,Auburn,21,Louisiana State,45,
Sep 19 2015,Norfolk State,7,Marshall,45,
Sep 19 2015,South Florida,17,Maryland,35,
Sep 19 2015,Memphis,44,Bowling Green State,41,
Sep 19 2015,Nebraska,33,Miami (FL),36,
Sep 19 2015,Nevada-Las Vegas,7,Michigan,28,
Sep 19 2015,Air Force,21,Michigan State,35,
Sep 19 2015,Charlotte,14,Middle Tennessee State,73,
Sep 19 2015,Kent State,7,Minnesota,10,
Sep 19 2015,Mississippi,43,Alabama,37,
Sep 19 2015,Northwestern State,13,Mississippi State,62,
Sep 19 2015,Connecticut,6,Missouri,9,
Sep 19 2015,East Carolina,21,Navy,45,
Sep 19 2015,Illinois,14,North Carolina,48,
Sep 19 2015,North Carolina State,38,Old Dominion,14,
Sep 19 2015,Northwestern,19,Duke,10,
Sep 19 2015,Georgia Tech,22,Notre Dame,30,
Sep 19 2015,Southeastern Louisiana,14,Ohio,35,
Sep 19 2015,Northern Illinois,13,Ohio State,20,
Sep 19 2015,Tulsa,38,Oklahoma,52,
Sep 19 2015,Texas-San Antonio,14,Oklahoma State,69,
Sep 19 2015,Georgia State,28,Oregon,61,
Sep 19 2015,San Jose State,21,Oregon State,35,
Sep 19 2015,Rutgers,3,Penn State,28,
Sep 19 2015,Rice,38,North Texas,24,
Sep 19 2015,South Alabama,34,San Diego State,27,
Sep 19 2015,Southern Mississippi,56,Texas State,50,
Sep 19 2015,Stanford,41,Southern California,31,
Sep 19 2015,Central Michigan,27,Syracuse,30,
Sep 19 2015,Temple,25,Massachusetts,23,
Sep 19 2015,Western Carolina,10,Tennessee,55,
Sep 19 2015,Nevada,27,Texas A&M,44,
Sep 19 2015,Southern Methodist,37,Texas Christian,56,
Sep 19 2015,Texas Tech,35,Arkansas,24,
Sep 19 2015,Texas-El Paso,50,New Mexico State,47,
Sep 19 2015,Iowa State,23,Toledo,30,
Sep 19 2015,Maine,7,Tulane,38,
Sep 19 2015,Brigham Young,23,UCLA,24,
Sep 19 2015,Utah,45,Fresno State,24,
Sep 19 2015,Austin Peay,7,Vanderbilt,47,
Sep 19 2015,William & Mary,29,Virginia,35,
Sep 19 2015,Virginia Tech,51,Purdue,24,
Sep 19 2015,Wake Forest,17,Army,14,
Sep 19 2015,Utah State,17,Washington,31,
Sep 19 2015,Wyoming,14,Washington State,31,
Sep 19 2015,Murray State,20,Western Michigan,52,
Sep 19 2015,Troy,3,Wisconsin,28,
Sep 24 2015,Cincinnati,46,Memphis,53,
Sep 25 2015,Boise State,56,Virginia,14,
Sep 25 2015,Stanford,42,Oregon State,24,
Sep 26 2015,Akron,35,Louisiana-Lafayette,14,
Sep 26 2015,Louisiana-Monroe,0,Alabama,34,
Sep 26 2015,Appalachian State,49,Old Dominion,0,
Sep 26 2015,Army,58,Eastern Michigan,36,
Sep 26 2015,Rice,17,Baylor,70,
Sep 26 2015,Northern Illinois,14,Boston College,17,
Sep 26 2015,Bowling Green State,35,Purdue,28,
Sep 26 2015,California,30,Washington,24,
Sep 26 2015,Nicholls State,0,Colorado,48,
Sep 26 2015,Colorado State,33,Texas-San Antonio,31,
Sep 26 2015,Georgia Tech,20,Duke,34,
Sep 26 2015,Virginia Tech,28,East Carolina,35,
Sep 26 2015,Tennessee,27,Florida,28,
Sep 26 2015,Florida Atlantic,17,Charlotte,7,
Sep 26 2015,Southern,6,Georgia,48,
Sep 26 2015,Georgia Southern,44,Idaho,20,
Sep 26 2015,Texas State,14,Houston,59,
Sep 26 2015,Middle Tennessee State,25,Illinois,27,
Sep 26 2015,Indiana,31,Wake Forest,24,
Sep 26 2015,North Texas,16,Iowa,62,
Sep 26 2015,James Madison,48,Southern Methodist,45,
Sep 26 2015,Missouri,13,Kentucky,21,
Sep 26 2015,Louisiana State,34,Syracuse,24,
Sep 26 2015,Florida International,17,Louisiana Tech,27,
Sep 26 2015,Samford,3,Louisville,45,
Sep 26 2015,Marshall,36,Kent State,29,
Sep 26 2015,Brigham Young,0,Michigan,31,
Sep 26 2015,Central Michigan,10,Michigan State,30,
Sep 26 2015,Ohio,24,Minnesota,27,
Sep 26 2015,Vanderbilt,16,Mississippi,27,
Sep 26 2015,Mississippi State,17,Auburn,9,
Sep 26 2015,Navy,28,Connecticut,18,
Sep 26 2015,Southern Mississippi,28,Nebraska,36,
Sep 26 2015,Nevada,24,Buffalo,21,
Sep 26 2015,Idaho State,8,Nevada-Las Vegas,80,
Sep 26 2015,New Mexico,38,Wyoming,28,
Sep 26 2015,Delaware,14,North Carolina,41,
Sep 26 2015,North Carolina State,63,South Alabama,13,
Sep 26 2015,Ball State,19,Northwestern,24,
Sep 26 2015,Massachusetts,27,Notre Dame,62,
Sep 26 2015,Western Michigan,12,Ohio State,38,
Sep 26 2015,Oklahoma State,30,Texas,27,
Sep 26 2015,San Diego State,21,Penn State,37,
Sep 26 2015,Kansas,14,Rutgers,27,
Sep 26 2015,Fresno State,23,San Jose State,49,
Sep 26 2015,Central Florida,14,South Carolina,31,
Sep 26 2015,Southern California,42,Arizona State,14,
Sep 26 2015,Arkansas,21,Texas A&M,28,
Sep 26 2015,Texas Christian,55,Texas Tech,52,
Sep 26 2015,Incarnate Word,17,Texas-El Paso,27,
Sep 26 2015,Arkansas State,7,Toledo,37,
Sep 26 2015,UCLA,56,Arizona,23,
Sep 26 2015,Utah,62,Oregon,20,
Sep 26 2015,Maryland,6,West Virginia,45,
Sep 26 2015,Miami (OH),14,Western Kentucky,56,
Sep 26 2015,Hawaii,0,Wisconsin,28,
Oct 1 2015,Miami (FL),23,Cincinnati,34,
Oct 2 2015,Connecticut,13,Brigham Young,30,
Oct 2 2015,Memphis,24,South Florida,17,
Oct 2 2015,Temple,37,Charlotte,3,
Oct 3 2015,Alabama,38,Georgia,10,
Oct 3 2015,Wyoming,13,Appalachian State,31,
Oct 3 2015,Arizona State,38,UCLA,23,
Oct 3 2015,Arkansas,24,Tennessee,20,
Oct 3 2015,Idaho,35,Arkansas State,49,
Oct 3 2015,San Jose State,21,Auburn,35,
Oct 3 2015,Texas Tech,35,Baylor,63,
Oct 3 2015,Hawaii,0,Boise State,55,
Oct 3 2015,Bowling Green State,28,Buffalo,22,
Oct 3 2015,Washington State,28,California,34,
Oct 3 2015,Northern Illinois,19,Central Michigan,29,
Oct 3 2015,Notre Dame,22,Clemson,24,
Oct 3 2015,Boston College,7,Duke,9,
Oct 3 2015,East Carolina,49,Southern Methodist,23,
Oct 3 2015,Mississippi,10,Florida,38,
Oct 3 2015,Florida State,24,Wake Forest,16,
Oct 3 2015,Georgia Southern,51,Louisiana-Monroe,31,
Oct 3 2015,Houston,38,Tulsa,24,
Oct 3 2015,Nebraska,13,Illinois,14,
Oct 3 2015,Iowa,10,Wisconsin,6,
Oct 3 2015,Kansas,13,Iowa State,38,
Oct 3 2015,Miami (OH),14,Kent State,20,
Oct 3 2015,Eastern Kentucky,27,Kentucky,34,
Oct 3 2015,Liberty,41,Georgia State,33,
Oct 3 2015,Eastern Michigan,22,Louisiana State,44,
Oct 3 2015,Louisiana-Lafayette,14,Louisiana Tech,43,
Oct 3 2015,Louisville,20,North Carolina State,13,
Oct 3 2015,Old Dominion,7,Marshall,27,
Oct 3 2015,Florida International,14,Massachusetts,24,
Oct 3 2015,Michigan,28,Maryland,0,
Oct 3 2015,Purdue,21,Michigan State,24,
Oct 3 2015,South Carolina,10,Missouri,24,
Oct 3 2015,Air Force,11,Navy,33,
Oct 3 2015,Nevada-Las Vegas,23,Nevada,17,
Oct 3 2015,New Mexico State,29,New Mexico,38,
Oct 3 2015,North Carolina,38,Georgia Tech,31,
Oct 3 2015,Minnesota,0,Northwestern,27,
Oct 3 2015,Ohio,14,Akron,12,
Oct 3 2015,Ohio State,34,Indiana,27,
Oct 3 2015,West Virginia,24,Oklahoma,44,
Oct 3 2015,Kansas State,34,Oklahoma State,36,
Oct 3 2015,Oregon,41,Colorado,24,
Oct 3 2015,Army,14,Penn State,20,
Oct 3 2015,Pittsburgh,17,Virginia Tech,13,
Oct 3 2015,Fresno State,7,San Diego State,21,
Oct 3 2015,South Alabama,24,Troy,18,
Oct 3 2015,North Texas,14,Southern Mississippi,49,
Oct 3 2015,Arizona,17,Stanford,55,
Oct 3 2015,Mississippi State,17,Texas A&M,30,
Oct 3 2015,Texas,7,Texas Christian,50,
Oct 3 2015,Texas-San Antonio,25,Texas-El Paso,6,
Oct 3 2015,Toledo,24,Ball State,10,
Oct 3 2015,Central Florida,31,Tulane,45,
Oct 3 2015,Colorado State,18,Utah State,33,
Oct 3 2015,Vanderbilt,17,Middle Tennessee State,13,
Oct 3 2015,Western Kentucky,49,Rice,10,
Oct 8 2015,Southern Methodist,28,Houston,49,
Oct 8 2015,Washington,17,Southern California,12,
Oct 9 2015,Southern Mississippi,10,Marshall,31,
Oct 9 2015,North Carolina State,13,Virginia Tech,28,
Oct 10 2015,Wyoming,17,Air Force,31,
Oct 10 2015,Akron,47,Eastern Michigan,21,
Oct 10 2015,Arkansas,14,Alabama,27,
Oct 10 2015,Appalachian State,37,Georgia State,3,
Oct 10 2015,Oregon State,7,Arizona,44,
Oct 10 2015,Colorado,23,Arizona State,48,
Oct 10 2015,Baylor,66,Kansas,7,
Oct 10 2015,Boise State,41,Colorado State,10,
Oct 10 2015,Massachusetts,38,Bowling Green State,62,
Oct 10 2015,East Carolina,38,Brigham Young,45,
Oct 10 2015,Georgia Tech,24,Clemson,43,
Oct 10 2015,Connecticut,40,Central Florida,13,
Oct 10 2015,Duke,44,Army,3,
Oct 10 2015,Florida,21,Missouri,3,
Oct 10 2015,Texas-El Paso,12,Florida International,52,
Oct 10 2015,Miami (FL),24,Florida State,29,
Oct 10 2015,Illinois,20,Iowa,29,
Oct 10 2015,Louisiana State,45,South Carolina,24,
Oct 10 2015,Louisiana Tech,34,Texas-San Antonio,31,
Oct 10 2015,Texas State,27,Louisiana-Lafayette,49,
Oct 10 2015,Northwestern,0,Michigan,38,
Oct 10 2015,Michigan State,31,Rutgers,24,
Oct 10 2015,Minnesota,41,Purdue,13,
Oct 10 2015,New Mexico State,3,Mississippi,52,
Oct 10 2015,Troy,17,Mississippi State,45,
Oct 10 2015,New Mexico,17,Nevada,35,
Oct 10 2015,Ball State,41,Northern Illinois,59,
Oct 10 2015,Navy,24,Notre Dame,41,
Oct 10 2015,Miami (OH),3,Ohio,34,
Oct 10 2015,Maryland,28,Ohio State,49,
Oct 10 2015,Oklahoma State,33,West Virginia,26,
Oct 10 2015,Indiana,7,Penn State,29,
Oct 10 2015,Virginia,19,Pittsburgh,26,
Oct 10 2015,Portland State,66,North Texas,7,
Oct 10 2015,Rice,27,Florida Atlantic,26,
Oct 10 2015,San Diego State,28,Hawaii,14,
Oct 10 2015,San Jose State,33,Nevada-Las Vegas,27,
Oct 10 2015,Syracuse,24,South Florida,45,
Oct 10 2015,Tulane,10,Temple,49,
Oct 10 2015,Georgia,31,Tennessee,38,
Oct 10 2015,Oklahoma,17,Texas,24,
Oct 10 2015,Texas Christian,52,Kansas State,45,
Oct 10 2015,Iowa State,31,Texas Tech,66,
Oct 10 2015,Kent State,7,Toledo,38,
Oct 10 2015,Louisiana-Monroe,24,Tulsa,34,
Oct 10 2015,California,24,Utah,30,
Oct 10 2015,Utah State,56,Fresno State,14,
Oct 10 2015,Wake Forest,3,Boston College,0,
Oct 10 2015,Washington State,45,Oregon,38,
Oct 10 2015,Middle Tennessee State,28,Western Kentucky,58,
Oct 10 2015,Central Michigan,39,Western Michigan,41,
Oct 10 2015,Wisconsin,23,Nebraska,21,
